CO_MUNICIPIO,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,% CONC_FEM
3501608,12,1,11,8.33
3502101,1,0,1,0.0
3502804,63,1,62,1.59
3503208,75,11,64,14.67
3503307,58,5,53,8.62
3504008,31,3,28,9.68
3505302,1,0,1,0.0
3505500,31,2,29,6.45
3506003,190,13,177,6.84
3507506,6,0,6,0.0
3509502,382,36,346,9.42
3509601,21,4,17,19.05
3510500,2,0,2,0.0
3511102,2,0,2,0.0
3516200,34,1,33,2.94
3518404,100,24,76,24.0
3518800,54,4,50,7.41
3520442,57,9,48,15.79
3520509,5,0,5,0.0
3522307,15,2,13,13.33
3523404,34,1,33,2.94
3524105,9,0,9,0.0
3524402,13,2,11,15.38
3524709,1,0,1,0.0
3525904,153,22,131,14.38
3526902,55,2,53,3.64
3527108,12,1,11,8.33
3527207,31,7,24,22.58
3529005,13,1,12,7.69
3529302,20,3,17,15.0
3530607,72,6,66,8.33
3534401,37,0,37,0.0
3534708,3,0,3,0.0
3536505,4,0,4,0.0
3538006,8,1,7,12.5
3538709,104,6,98,5.77
3539301,26,2,24,7.69
3541406,3,0,3,0.0
3543402,119,14,105,11.76
3543907,40,3,37,7.5
3545209,18,0,18,0.0
3545803,37,2,35,5.41
3546801,1,0,1,0.0
3547304,46,7,39,15.22
3547809,108,5,103,4.63
3548500,109,11,98,10.09
3548708,292,25,267,8.56
3548807,52,2,50,3.85
3548906,73,8,65,10.96
3549102,10,0,10,0.0
3549706,38,1,37,2.63
3549805,74,6,68,8.11
3549904,145,25,120,17.24
3550308,1387,125,1262,9.01
3551702,40,4,36,10.0
3552205,256,30,226,11.72
3552403,22,1,21,4.55
3554102,79,14,65,17.72
3556206,4,0,4,0.0
3557105,21,3,18,14.29
